 # PROCESS #
 # Power Reactor Optimisation Code #
 # PROCESS #
 # Power Reactor Optimisation Code #
 PROCESS_version_number__________________________________________________ (procver)_____________________     "3.0.1   R"
 Date_of_run_____________________________________________________________ (date)________________________     "15/12/2023"
 Time_of_run_____________________________________________________________ (time)________________________     "12:44"
 User____________________________________________________________________ (username)____________________     "clair"   
 PROCESS_run_title_______________________________________________________ (runtitle)____________________     "EU-DEMO 2018 baseline                                                                              
 PROCESS_tag_number______________________________________________________ (tagno)_______________________     "v3.0.1-18-gf145d83"                                                                                
 PROCESS_git_branch_name_________________________________________________ (branch_name)_________________     "main"                                                                                              
 PROCESS_last_commit_message_____________________________________________ (commsg)______________________     "Corrected number of days in year in annual cost calculation ([hash]3010)"                          
 Input_filename__________________________________________________________ (fileprefix)__________________     "/home/clair/development/PROCESS/input_files/clean_demo_IN.DAT                                                                                                                                           "
 # Numerics #
 VMCON_error_flag________________________________________________________ (ifail)_______________________              1    
 # PROCESS found a feasible solution #
 Number_of_iteration_variables___________________________________________ (nvar)________________________             40    
 Number_of_constraints_(total)___________________________________________ (neqns+nineqns)_______________             25    
 Optimisation_switch_____________________________________________________ (ioptimz)_____________________              1    
 Figure_of_merit_switch__________________________________________________ (minmax)______________________              1    
 Square_root_of_the_sum_of_squares_of_the_constraint_residuals___________ (sqsumsq)_____________________      1.0977E-07 OP 
 VMCON_convergence_parameter_____________________________________________ (convergence_parameter)_______      0.0000E+00 OP 
 Normalised_objective_function___________________________________________ (norm_objf)___________________      1.7944E+00 OP 
 Number_of_VMCON_iterations______________________________________________ (nviter)______________________              0 OP 
 oh_steel_frac_(range_normalised)________________________________________ (nitvar036)___________________      7.8219E-01    
 foh_stress______________________________________________________________ (itvar037)____________________      5.1669E-01    
 foh_stress_(final_value/initial_value)__________________________________ (xcm037)______________________      5.1669E-01    
 foh_stress_(range_normalised)___________________________________________ (nitvar037)___________________      5.1621E-01    
 fimp(13)________________________________________________________________ (itvar038)____________________      3.6833E-04    
 fimp(13)_(final_value/initial_value)____________________________________ (xcm038)______________________      1.0309E+00    
 fimp(13)_(range_normalised)_____________________________________________ (nitvar038)___________________      3.6832E-02    
 fne0____________________________________________________________________ (itvar039)____________________      5.9638E-01    
 fne0_(final_value/initial_value)________________________________________ (xcm039)______________________      9.9397E-01    
 fne0_(range_normalised)_________________________________________________ (nitvar039)___________________      6.2738E-01    
 fncycle_________________________________________________________________ (itvar040)____________________      1.0000E+00    
 fncycle_(final_value/initial_value)_____________________________________ (xcm040)______________________      1.0000E+00    
 fncycle_(range_normalised)______________________________________________ (nitvar040)___________________      1.0000E+00    
 Beta_consistency__________________normalised_residue____________________ (normres001)__________________     -4.3098E-12    
 Global_power_balance_consistency__normalised_residue____________________ (normres002)__________________      4.6896E-13    
 Density_upper_limit_______________normalised_residue____________________ (normres003)__________________     -1.5047E-12    
 Neutron_wall_load_upper_limit_____normalised_residue____________________ (normres004)__________________     -1.2069E-11    
 Radial_build_consistency__________normalised_residue____________________ (normres005)__________________      9.5013E-13    
 Burn_time_lower_limit_____________normalised_residue____________________ (normres006)__________________      1.0472E-08    
 L-H_power_threshold_limit_________normalised_residue____________________ (normres007)__________________     -2.1275E-11    
 Net_electric_power_lower_limit____normalised_residue____________________ (normres008)__________________     -1.0156E-09    
 Beta_upper_limit__________________normalised_residue____________________ (normres009)__________________     -1.5072E-12    
 CS_coil_EOF_current_density_limit_normalised_residue____________________ (normres010)__________________      2.5103E-10    
 CS_coil_BOP_current_density_limit_normalised_residue____________________ (normres011)__________________     -2.6416E-10    
 Injection_power_upper_limit_______normalised_residue____________________ (normres012)__________________      3.8041E-12    
 TF_coil_case_stress_upper_limit___normalised_residue____________________ (normres013)__________________      4.4524E-12    
 TF_coil_conduit_stress_upper_lim__normalised_residue____________________ (normres014)__________________      4.2031E-12    
 I_op_/_I_critical_(TF_coil)_______normalised_residue____________________ (normres015)__________________      7.3832E-12    
 Dump_voltage_upper_limit__________normalised_residue____________________ (normres016)__________________      2.4434E-09    
 J_winding_pack/J_protection_limit_normalised_residue____________________ (normres017)__________________      9.7056E-13    
 TF_coil_temp._margin_lower_limit__normalised_residue____________________ (normres018)__________________      9.9924E-10    
 CS_temperature_margin_lower_limit_normalised_residue____________________ (normres019)__________________     -7.0832E-10    
 taup/taueff_______________________normalised_residue____________________ (normres020)__________________      1.9549E-12    
 Dump_time_set_by_VV_stress________normalised_residue____________________ (normres021)__________________      1.1976E-11    
 Upper_Lim._on_Psep_*_Bt_/_q_A_R___normalised_residue____________________ (normres022)__________________      1.9682E-11    
 CS_Tresca_yield_criterion_________normalised_residue____________________ (normres023)__________________     -1.1805E-10    
 ne0_>_neped_______________________normalised_residue____________________ (normres024)__________________     -1.2946E-12    
 CS_stress_load_cycles_____________normalised_residue____________________ (normres025)__________________     -1.0923E-07    
 # Final Feasible Point #
 # Plant Availability #
 Allowable_blanket_neutron_fluence_(MW-yr/m2)____________________________ (abktflnc)____________________      1.5000E+01    
